SITE,TUNAS,DOLPHINFISH,WAHOO,SNAPPER,FLYINGFISH,SHARK,LOBSTER,CONCH,LIONFISH,OTHER,TOTAL
ANSE LA RAYE,10.73,3.08,0.03,1.14,0.020,0.00,0.00,0.00,0.07,46.86,61.93
CASTRIES,10.02,10.46,0.49,1.99,0.249,0.09,0.15,0.00,0.09,82.48,106.00
CHOISEUL,21.00,13.60,2.12,1.99,0.024,0.17,1.27,0.00,1.07,17.44,58.68
DENNERY,72.47,164.61,31.29,3.93,0.000,1.22,1.58,2.02,0.88,42.80,320.80
GROS ISLET,2.87,1.88,0.06,2.03,0.028,0.27,3.95,81.67,0.26,25.08,118.09
LABORIE,17.60,3.41,0.34,4.29,0.000,0.63,0.42,11.97,0.71,19.66,59.02
MICOUD,26.37,26.99,4.19,0.72,0.000,0.11,0.37,0.00,0.25,18.89,77.88
SOUFRIERE,3.12,0.42,0.00,0.38,0.045,0.00,0.00,0.00,0.00,52.47,56.44
VIEUX FORT,147.67,228.81,41.23,12.65,0.000,0.56,1.91,1.16,0.10,63.38,497.46
OTHERSITES,62.16,52.19,7.22,5.37,0.062,0.53,5.88,0.00,0.86,124.93,259.22
TOTAL ,374.01,505.44,86.96,34.49,0.43,3.58,15.52,96.82,4.29,493.98,1615.51
